PROCESSING_ID	STUDY_ID	PHENO	INDIVIDUAL	COVARIATES	ETHNICITY	ANALYST	DATE	SEX	CHROMOSOMES	file_name_ftp	file_name_fixed	file_type	file_check_complete	FN_ID	README_file	INFO_file	keep_col
ABCD_BW3	ABCD	BW	child	sex	european	MHZ	8072016	NA	NA	CLEANED.EGG_1000G_BW3.RESULTS.ABCD.FEMALE.MHZ.08072016.reformatted.txt.gz	EGG_1KGP_BW3.BW.child_FEMALE.sex.ABCD.european.MHZ.08072016.tsv.gz	GWAS_BW3	NA	FN_ABCD_BW3_child_sex_08072016_1__	SEE_BW3_DOCUMENTATION	NA	KEEP
ABCD_BW3	ABCD	BW	child	sex	european	MHZ	8072016	NA	NA	CLEANED.EGG_1000G_BW3.RESULTS.ABCD.MALE.MHZ.08072016.reformatted.txt.gz	EGG_1KGP_BW3.BW.child_MALE.sex.ABCD.european.MHZ.08072016.tsv.gz	GWAS_BW3	NA	FN_ABCD_BW3_child_sex_08072016_2__	SEE_BW3_DOCUMENTATION	NA	KEEP
ALSPAC	ALSPAC	BW	child	sex	european	RNB	20211013	NA	NA	EGG_HRC_BW6.BW.child.sex.ALSPAC.european.RNB.20211013.txt.gz	EGG_HRC_BW6.BW.child.sex.ALSPAC.european.RNB.20211013.tsv.gz	GWAS	FALSE	FN_ALSPAC_child_sex_20211013_1__	TALK_TO_DANIEL_LEIRER	NA	KEEP
ALSPAC	ALSPAC	BW	child	sex_gest	european	RNB	20211013	NA	NA	EGG_HRC_BW6.BW.child.sex_gest.ALSPAC.european.RNB.20211013.txt.gz	EGG_HRC_BW6.BW.child.sex_gest.ALSPAC.european.RNB.20211013.tsv.gz	GWAS	FALSE	FN_ALSPAC_child_sex_gest_20211013_2__	TALK_TO_DANIEL_LEIRER	NA	KEEP
ALSPAC	ALSPAC	BW	mother	sex	european	RNB	20211013	NA	NA	EGG_HRC_BW6.BW.mother.sex.ALSPAC.european.RNB.20211013.txt.gz	EGG_HRC_BW6.BW.mother.sex.ALSPAC.european.RNB.20211013.tsv.gz	GWAS	FALSE	FN_ALSPAC_mother_sex_20211013_1__	TALK_TO_DANIEL_LEIRER	NA	KEEP
ALSPAC	ALSPAC	BW	mother	sex_gest	european	RNB	20211013	NA	NA	EGG_HRC_BW6.BW.mother.sex_gest.ALSPAC.european.RNB.20211013.txt.gz	EGG_HRC_BW6.BW.mother.sex_gest.ALSPAC.european.RNB.20211013.tsv.gz	GWAS	FALSE	FN_ALSPAC_mother_sex_gest_20211013_2__	TALK_TO_DANIEL_LEIRER	NA	KEEP
ALSPAC2021	ALSPAC2021	BW	father	sex	european	DJL	20211221	NA	NA	EGG_HRC_BW6.BW.father.sex.ALSPAC2021.european.DJL.20211221.txt.gz	EGG_HRC_BW6.BW.father.sex.ALSPAC2021.european.DJL.20211221.tsv.gz	GWAS	FALSE	FN_ALSPAC2021_father_sex_20211221_1__	NA	NA	DROP
ALSPAC2021	ALSPAC2021	BW	father	sex	european	DJL	20220107	NA	NA	EGG_HRC_BW6.BW.father.sex.ALSPAC2021.european.DJL.20220107.txt.gz	EGG_HRC_BW6.BW.father.sex.ALSPAC2021.european.DJL.20220107.tsv.gz	GWAS	FALSE	FN_ALSPAC2021_father_sex_20220107_2__	NA	NA	DROP
ALSPAC2021	ALSPAC2021	BW	father	sex	european	DJL	20220107	NA	NA	EGG_HRC_BW6.BW.father.sex.ALSPAC2021.european.DJL.20220107.txt.gz	EGG_HRC_BW6.BW.father.sex.ALSPAC2021.european.DJL.20220107.tsv.gz	GWAS	FALSE	FN_ALSPAC2021_father_sex_20220107_2__	NA	NA	DROP
ALSPAC2021	ALSPAC2021	BW	father	sex_gest	european	DJL	20220107	NA	NA	EGG_HRC_BW6.BW.father.sex_gest.ALSPAC2021.european.DJL.20220107.txt.gz	EGG_HRC_BW6.BW.father.sex_gest.ALSPAC2021.european.DJL.20220107.tsv.gz	GWAS	FALSE	FN_ALSPAC2021_father_sex_gest_20220107_4__	NA	NA	DROP
ALSPAC2021	ALSPAC2021	BW	mother	sex	european	DJL	20211221	NA	NA	EGG_HRC_BW6.BW.mother.sex.ALSPAC2021.european.DJL.20211221.txt.gz	EGG_HRC_BW6.BW.mother.sex.ALSPAC2021.european.DJL.20211221.tsv.gz	GWAS	FALSE	FN_ALSPAC2021_mother_sex_20211221_1__	NA	NA	DROP
ALSPAC2021	ALSPAC2021	BW	mother	sex	european	DJL	20220107	NA	NA	EGG_HRC_BW6.BW.mother.sex.ALSPAC2021.european.DJL.20220107.txt.gz	EGG_HRC_BW6.BW.mother.sex.ALSPAC2021.european.DJL.20220107.tsv.gz	GWAS	FALSE	FN_ALSPAC2021_mother_sex_20220107_2__	NA	NA	DROP
ALSPAC2021	ALSPAC2021	BW	mother	sex_gest	european	DJL	20211221	NA	NA	EGG_HRC_BW6.BW.mother.sex_gest.ALSPAC2021.european.DJL.20211221.txt.gz	EGG_HRC_BW6.BW.mother.sex_gest.ALSPAC2021.european.DJL.20211221.tsv.gz	GWAS	FALSE	FN_ALSPAC2021_mother_sex_gest_20211221_3__	NA	NA	DROP
ALSPAC2021	ALSPAC2021	BW	mother	sex_gest	european	DJL	20220107	NA	NA	EGG_HRC_BW6.BW.mother.sex_gest.ALSPAC2021.european.DJL.20220107.txt.gz	EGG_HRC_BW6.BW.mother.sex_gest.ALSPAC2021.european.DJL.20220107.tsv.gz	GWAS	FALSE	FN_ALSPAC2021_mother_sex_gest_20220107_4__	NA	NA	DROP
B58C_BW3	B58C	BW	child	sex	european	DPS	15082013	NA	NA	CLEANED.EGG_1000G_BW3.RESULTS.B58C.female.DPS.15082013.txt.gz	EGG_1KGP_BW3.BW.child_FEMALE.sex.B58C.european.DPS.15082013.tsv.gz	GWAS_BW3	NA	FN_B58C_BW3_child_sex_15082013_1__	SEE_BW3_DOCUMENTATION	NA	KEEP
B58C_BW3	B58C	BW	child	sex	european	DPS	15082013	NA	NA	CLEANED.EGG_1000G_BW3.RESULTS.B58C.male.DPS.15082013.txt.gz	EGG_1KGP_BW3.BW.child_MALE.sex.B58C.european.DPS.15082013.tsv.gz	GWAS_BW3	NA	FN_B58C_BW3_child_sex_15082013_2__	SEE_BW3_DOCUMENTATION	NA	KEEP
